manejo,Achimill,Agrostol,Airaprae,Alopgeni,Anthodor,Bellpere,Bromhord,Chenalbu,Cirsarve,Comapalu,Eleopalu,Elymrepe,Empenigr,Hyporadi,Juncarti,Juncbufo,Lolipere,Planlanc,Poaprat,Poatriv,Ranuflam,Rumeacet,Sagiproc,Salirepe,Scorautu,Trifprat,Trifrepe,Vicilath
Fazenda padrão,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,4,2,0,0,0,0,0,0,0,0
Fazenda biológica,3,0,0,2,0,3,4,0,0,0,0,4,0,0,0,0,5,0,4,7,0,0,0,0,5,0,5,0
Fazenda padrão,0,4,0,7,0,2,0,0,0,0,0,4,0,0,0,0,6,0,5,6,0,0,0,0,2,0,2,0
Fazenda padrão,0,8,0,2,0,2,3,0,2,0,0,4,0,0,0,0,5,0,4,5,0,0,5,0,2,0,1,0
Fazenda Hobby,2,0,0,0,4,2,2,0,0,0,0,4,0,0,0,0,2,5,2,6,0,5,0,0,3,2,2,0
Fazenda Hobby,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,5,3,4,0,6,0,0,3,5,5,0
Fazenda Hobby,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,6,5,4,5,0,3,0,0,3,2,2,0
Fazenda Hobby,0,4,0,5,0,0,0,0,0,0,4,0,0,0,4,0,4,0,4,4,2,0,2,0,3,0,2,0
Fazenda Hobby,0,3,0,3,0,0,0,0,0,0,0,6,0,0,4,4,2,0,4,5,0,2,2,0,2,0,3,0
Fazenda biológica,4,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,6,3,4,4,0,0,0,0,3,0,6,1
Fazenda biológica,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,3,4,0,0,0,2,0,5,0,3,2
Fazenda padrão,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,2,4,0,2,0,3,0
Fazenda padrão,0,5,0,5,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,9,2,0,2,0,2,0,2,0
Unidade de conservação,0,4,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,6,0
Unidade de conservação,0,4,0,0,0,0,0,0,0,2,5,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,1,0
Fazenda padrão,0,7,0,4,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0
Unidade de conservação,2,0,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0
Unidade de conservação,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,3,5,0,2,1
Unidade de conservação,0,0,3,0,4,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,3,3,6,0,2,0
Unidade de conservação,0,5,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,5,2,0,0,0
