,bacia,subbacia,altitude,largura,profundidade,velocidade,condutividade
Ama1,Paraná,Amambai,452,4.46,0.3,0.98,75
Ama2,Paraná,Amambai,519,3.7,0.62,0.43,91
Ama3,Paraná,Amambai,472,3.36,0.45,0.55,70
Ama4,Paraná,Amambai,416,2.26,1.2,0.32,68
Ama5,Paraná,Amambai,379,2.2,0.4,0.4,13
Ama6,Paraná,Amambai,330,6.4,0.9,0.78,55
Ama7,Paraná,Amambai,270,6.5,0.5,0.96,24
Ama8,Paraná,Amambai,305,1.77,0.45,0.66,30
Ama9,Paraná,Amambai,344,6.8,0.7,1.07,53
Ama10,Paraná,Amambai,361,4.7,0.35,0.5,33
Iguat1,Paraná,Iguatemi,448,2.36,0.37,0.37,12
Iguat2,Paraná,Iguatemi,384,9.2,0.51,0.51,62
Iguat3,Paraná,Iguatemi,394,2.4,0.4,0.53,14
Iguat4,Paraná,Iguatemi,396,3.2,0.23,0.23,9
Iguat6,Paraná,Iguatemi,481,17.34,0.45,0.54,13
Iguat7,Paraná,Iguatemi,495,1.5,0.17,0.18,8
Iguat8,Paraná,Iguatemi,441,1.6,0.2,0.16,15
Iguat9,Paraná,Iguatemi,238,1.5,1.3,0.7,20
Iguat10,Paraná,Iguatemi,249,1.7,0.32,0.78,22
Ivi1,Paraná,Ivinhema,423,0.8,0.35,0.45,16.1
Ivi2,Paraná,Ivinhema,357,1.1,0.5,0.85,23
Ivi3,Paraná,Ivinhema,422,4.7,1.2,0.51,161.3
Ivi4,Paraná,Ivinhema,304,4.5,0.51,0.84,37.8
Ivi5,Paraná,Ivinhema,353,1.2,0.26,0.96,13.2
Ivi6,Paraná,Ivinhema,350,1.2,0.52,0.65,19.5
Ivi7,Paraná,Ivinhema,308,0.9,0.35,0.11,28.6
Ivi8,Paraná,Ivinhema,478,0.85,0.4,0.82,35.6
Ivi9,Paraná,Ivinhema,286,0.9,0.91,0.54,76.6
Ivi10,Paraná,Ivinhema,290,2,0.7,0.44,28.8
Apa43,Paraguai,Apa,646,1.5,0.2,0.28,134
Apa32,Paraguai,Apa,154,2.7,0.35,1.2,30
Apa5,Paraguai,Apa,291,1.03,0.32,0.22,24
Apa33,Paraguai,Apa,173,2.23,0.31,0.47,45
Apa2,Paraguai,Apa,279,0.57,0.11,0.24,31
Apa10,Paraguai,Apa,325,1.68,0.16,0.12,24
Apa9,Paraguai,Apa,250,1.5,0.21,0.25,10
Apa14,Paraguai,Apa,214,1,0.1,0.05,33
Apa50,Paraguai,Apa,170,6.7,0.45,0.15,303
Apa24,Paraguai,Apa,201,0.78,0.16,0.4,77
Miranda18,Paraguai,Miranda,321,3.34,0.32,0.65,184.00
Miranda8,Paraguai,Miranda,285,12,0.45,0.74,338.00
Miranda20,Paraguai,Miranda,264,4.16,0.9,0.88,13.00
Miranda23,Paraguai,Miranda,334,7,0.26,0.36,102.00
Miranda10,Paraguai,Miranda,266,2.4,0.21,0.48,52.00
Miranda44,Paraguai,Miranda,417,2.48,0.22,0.96,229
Miranda5,Paraguai,Miranda,328,11.46,0.63,0.45,21.00
Miranda16,Paraguai,Miranda,355,7.1,0.61,0.74,109.00
Miranda38,Paraguai,Miranda,619,1.1,0.42,0.17,17.33
Miranda11,Paraguai,Miranda,281,4.5,0.85,0.28,28.00
Negro31,Paraguai,Negro,220,1.9,0.12,0.32,134
Negro32,Paraguai,Negro,232,2.58,0.3,0.26,27
Negro43,Paraguai,Negro,334,6.1,0.15,0.31,21
Negro17,Paraguai,Negro,298,2.5,0.18,0.24,39
Negro38,Paraguai,Negro,278,1.1,0.15,0.21,40
Negro18,Paraguai,Negro,185,1.6,0.28,0.41,12
Negro55,Paraguai,Negro,175,1.38,0.15,0.53,41
Negro56,Paraguai,Negro,200,1.36,0.18,0.32,14
Negro53,Paraguai,Negro,148,1.3,0.19,0.33,66
Negro51,Paraguai,Negro,169,1.4,0.16,0.4,27
