,meses,A._anisitsi,A._fasciatus,A._paranae,Aces._lacustris,Aphyocharax_sp.,Ast._lacustris,C._aeneus,C._britskii,C._insperatus,C._modestus,C._zebra,E._guairaca,F._hahni,H._ancistroides,H._iheringii,H._mbigua,H._strigaticeps,I._schubarti,K._moenkhausii,L._friderici,M._bonita,O._marapoama,O._pintoi,O._polyodon,P._argentea,P._galeatus,P._harpagos,P._nasus,P._stramineus,R._quelen,S._borellii,S._brevipinna,S._maculatus,S._notomelas
E1-Fev,Fevereiro,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
E2-Fev,Fevereiro,0,0,0,2,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,1,11,0,0,0,0,1,0,0,8,0,0,0,2,0
E3-Fev,Fevereiro,0,0,0,0,0,0,0,1,0,0,0,7,0,3,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0
E4-Fev,Fevereiro,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0
E5-Fev,Fevereiro,0,1,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0
E1-Jun,Junho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
E2-Jun,Junho,1,0,0,0,7,1,0,0,1,0,0,2,2,2,0,1,0,5,0,1,23,0,0,4,1,1,0,0,0,0,2,2,0,19
E3-Jun,Junho,0,0,3,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
E4-Jun,Junho,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
E5-Jun,Junho,0,5,0,0,0,4,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,2,0,0,22,0,0,0,106,0,0,0,0,0
E6-Jun,Junho,0,17,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
E1-Out,Outubro,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
E2-Out,Outubro,0,0,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
E3-Out,Outubro,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
E4-Out,Outubro,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,1,0,0,0,0
E5-Out,Outubro,0,3,0,1,0,13,0,0,0,0,1,0,1,1,1,0,5,0,14,4,0,0,0,0,22,1,0,0,27,3,0,0,0,0
E6-Out,Outubro,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
